,STAMINA/STORM 2.0,STAMINA/STORM 2.5 (Single Thread),STAMINA/PRISM 2.0,STAMINA/PRISM 1.0
Jackson Circuit (n=64),2.69667599994694E-06,0.001563840646,2.69665523100482E-06,
Jackson Circuit (n=32),7.53813270000236E-05,0.004568145922,,
