Toy 2 Combined 4,0,0,0,
Toy 1 Separate,0,0,0,
Toy 2 Combined 3,5.80370999998109E-07,3.03982100000044E-06,5.78752949897954E-07,
Toy 1 Combined,0,0,0,
Toy 2 Combined,0,0,0,
Toy 2 Combined 2,0,0,0,
Toy 2 Separate,0,0,0,
