,STAMINA/STORM 2.0,STAMINA/STORM 2.5 (Single Thread),STAMINA/PRISM 2.0,STAMINA/PRISM 1.0
Tandem c2047/T0.25,3.24493400000181E-06,3.46643399995461E-06,3.24493374198598E-06,
Tandem c4095/T0.25,3.37549099999057E-06,4.10987100002425E-06,3.37549131401715E-06,
